CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
2.0,GENERATED VIA SPACE-TRACK.ORG API,2025-07-29T14:56:31,18 SPCS,ISS (ZARYA),1998-067A,EARTH,TEME,UTC,SGP4,2025-07-29T11:40:40.918080,15.50196064,0.00019450,51.6344,97.4197,130.2872,229.8287,0,U,25544,999,52172,0.00023083000000,0.00012831,0.0000000000000,6794.290,92.891,417.477,414.834,PAYLOAD,LARGE,ISS,1998-11-20,TTMTR,,4799475,293715550,0 ISS (ZARYA),1 25544U 98067A   25210.48658470  .00012831  00000-0  23083-3 0  9996,2 25544  51.6344  97.4197 0001945 130.2872 229.8287 15.50196064521726
2.0,GENERATED VIA SPACE-TRACK.ORG API,2025-07-29T18:09:25,18 SPCS,ISS (ZARYA),1998-067A,EARTH,TEME,UTC,SGP4,2025-07-29T11:40:40.918080,15.50196064,0.00019450,51.6344,97.4197,130.2872,229.8287,0,U,25544,999,52172,0.00023083000000,0.00012831,0.0000000000000,6794.290,92.891,417.477,414.834,PAYLOAD,LARGE,ISS,1998-11-20,TTMTR,,4799578,293723856,0 ISS (ZARYA),1 25544U 98067A   25210.48658470  .00012831  00000-0  23083-3 0  9996,2 25544  51.6344  97.4197 0001945 130.2872 229.8287 15.50196064521726
2.0,GENERATED VIA SPACE-TRACK.ORG API,2025-07-29T07:16:38,18 SPCS,ISS (ZARYA),1998-067A,EARTH,TEME,UTC,SGP4,2025-07-29T03:56:31.819488,15.50188201,0.00019210,51.6345,99.0171,128.7802,231.3359,0,U,25544,999,52167,0.00023438000000,0.00013032,0.0000000000000,6794.313,92.892,417.483,414.873,PAYLOAD,LARGE,ISS,1998-11-20,TTMTR,,4799233,293708649,0 ISS (ZARYA),1 25544U 98067A   25210.16425717  .00013032  00000-0  23438-3 0  9995,2 25544  51.6345  99.0171 0001921 128.7802 231.3359 15.50188201521672
2.0,GENERATED VIA SPACE-TRACK.ORG API,2025-07-28T22:56:17,18 SPCS,ISS (ZARYA),1998-067A,EARTH,TEME,UTC,SGP4,2025-07-28T20:12:22.570560,15.50179196,0.00019540,51.6345,100.6151,128.2115,231.9050,0,U,25544,999,52162,0.00022329000000,0.00012388,0.0000000000000,6794.339,92.892,417.532,414.877,PAYLOAD,LARGE,ISS,1998-11-20,TTMTR,,4798858,293699612,0 ISS (ZARYA),1 25544U 98067A   25209.84192790  .00012388  00000-0  22329-3 0  9991,2 25544  51.6345 100.6151 0001954 128.2115 231.9050 15.50179196521629
2.0,GENERATED VIA SPACE-TRACK.ORG API,2025-07-28T17:46:16,18 SPCS,ISS (ZARYA),1998-067A,EARTH,TEME,UTC,SGP4,2025-07-28T16:00:21.422304,15.50175539,0.00022510,51.6363,101.4799,122.9566,339.8304,0,U,25544,999,52159,0.00022393000000,0.00012424,0.0000000000000,6794.350,92.893,417.745,414.686,PAYLOAD,LARGE,ISS,1998-11-20,TTMTR,,4798611,293693544,0 ISS (ZARYA),1 25544U 98067A   25209.66691461  .00012424  00000-0  22393-3 0  9992,2 25544  51.6363 101.4799 0002251 122.9566 339.8304 15.50175539521591
2.0,GENERATED VIA SPACE-TRACK.ORG API,2025-07-28T14:16:17,18 SPCS,ISS (ZARYA),1998-067A,EARTH,TEME,UTC,SGP4,2025-07-28T12:43:57.745344,15.50167078,0.00022960,51.6365,102.1566,124.9672,296.1947,0,U,25544,999,52157,0.00018456000000,0.00010153,0.0000000000000,6794.375,92.893,417.800,414.680,PAYLOAD,LARGE,ISS,1998-11-20,TTMTR,,4798307,293655142,0 ISS (ZARYA),1 25544U 98067A   25209.53052946  .00010153  00000-0  18456-3 0  9999,2 25544  51.6365 102.1566 0002296 124.9672 296.1947 15.50167078521577
2.0,GENERATED VIA SPACE-TRACK.ORG API,2025-07-28T07:06:32,18 SPCS,ISS (ZARYA),1998-067A,EARTH,TEME,UTC,SGP4,2025-07-28T03:11:13.682400,15.50161265,0.00019920,51.6347,104.1294,125.2997,234.8178,0,U,25544,999,52151,0.00022036000000,0.00012211,0.0000000000000,6794.392,92.894,417.610,414.903,PAYLOAD,LARGE,ISS,1998-11-20,TTMTR,,4798246,293653956,0 ISS (ZARYA),1 25544U 98067A   25209.13279725  .00012211  00000-0  22036-3 0  9997,2 25544  51.6347 104.1294 0001992 125.2997 234.8178 15.50161265521514
2.0,GENERATED VIA SPACE-TRACK.ORG API,2025-07-27T23:06:19,18 SPCS,ISS (ZARYA),1998-067A,EARTH,TEME,UTC,SGP4,2025-07-27T19:27:03.955680,15.50154127,0.00019920,51.6345,105.7265,123.7631,236.3548,0,U,25544,999,52146,0.00023629000000,0.00013125,0.0000000000000,6794.413,92.894,417.631,414.924,PAYLOAD,LARGE,ISS,1998-11-20,TTMTR,,4797928,293616317,0 ISS (ZARYA),1 25544U 98067A   25208.81046245  .00013125  00000-0  23629-3 0  9994,2 25544  51.6345 105.7265 0001992 123.7631 236.3548 15.50154127521466
2.0,GENERATED VIA SPACE-TRACK.ORG API,2025-07-28T06:46:54,18 SPCS,ISS (ZARYA),1998-067A,EARTH,TEME,UTC,SGP4,2025-07-27T19:27:03.955680,15.50154127,0.00019920,51.6345,105.7265,123.7631,236.3548,0,U,25544,999,52146,0.00023629000000,0.00013125,0.0000000000000,6794.413,92.894,417.631,414.924,PAYLOAD,LARGE,ISS,1998-11-20,TTMTR,,4798160,293628024,0 ISS (ZARYA),1 25544U 98067A   25208.81046245  .00013125  00000-0  23629-3 0  9994,2 25544  51.6345 105.7265 0001992 123.7631 236.3548 15.50154127521466
2.0,GENERATED VIA SPACE-TRACK.ORG API,2025-07-27T15:16:17,18 SPCS,ISS (ZARYA),1998-067A,EARTH,TEME,UTC,SGP4,2025-07-27T10:10:04.110816,15.50142938,0.00019820,51.6346,107.6436,121.6825,238.4357,0,U,25544,999,52140,0.00022826000000,0.00012658,0.0000000000000,6794.445,92.895,417.657,414.964,PAYLOAD,LARGE,ISS,1998-11-20,TTMTR,,4797581,293576842,0 ISS (ZARYA),1 25544U 98067A   25208.42365869  .00012658  00000-0  22826-3 0  9995,2 25544  51.6346 107.6436 0001982 121.6825 238.4357 15.50142938521401
