INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
2025-160A,64962,UNKNOWN,OBJECT A,PRC,2025-07-29,JSC,,94.68,97.40,511,496,,,0,,9207,2025,160,A,Y,OBJECT A,2025-160A,64962
2025-160B,64963,UNKNOWN,OBJECT B,PRC,2025-07-29,JSC,,92.31,97.43,503,272,,,0,,9207,2025,160,B,Y,OBJECT B,2025-160B,64963
2025-159A,64956,UNKNOWN,OBJECT A,PRC,2025-07-27,TSC,,105.18,86.49,1009,997,,,0,LARGE,9207,2025,159,A,Y,OBJECT A,2025-159A,64956
2025-159B,64957,UNKNOWN,OBJECT B,PRC,2025-07-27,TSC,,105.20,86.50,1010,998,,,0,LARGE,9207,2025,159,B,Y,OBJECT B,2025-159B,64957
2025-159C,64958,UNKNOWN,OBJECT C,PRC,2025-07-27,TSC,,105.16,86.49,1008,996,,,0,LARGE,9207,2025,159,C,Y,OBJECT C,2025-159C,64958
2025-159D,64959,UNKNOWN,OBJECT D,PRC,2025-07-27,TSC,,105.15,86.50,1007,996,,,0,LARGE,9207,2025,159,D,Y,OBJECT D,2025-159D,64959
2025-159F,64961,ROCKET BODY,CZ-6A R/B,PRC,2025-07-27,TSC,,103.30,86.50,991,838,,,0,LARGE,9207,2025,159,F,Y,CZ-6A R/B,2025-159F,64961
2025-156B,64900,PAYLOAD,CO3D3,FR,2025-07-26,FRGUI,,94.58,97.45,500,496,,,0,,9206,2025,156,B,Y,CO3D3,2025-156B,64900
2025-156C,64901,PAYLOAD,CO3D4,FR,2025-07-26,FRGUI,,94.59,97.46,501,496,,,0,,9206,2025,156,C,Y,CO3D4,2025-156C,64901
2025-156D,64902,PAYLOAD,CO3D2,FR,2025-07-26,FRGUI,,94.60,97.45,502,496,,,0,,9206,2025,156,D,Y,CO3D2,2025-156D,64902
2025-156A,64899,PAYLOAD,CARB,FR,2025-07-26,FRGUI,,97.84,98.02,667,644,,,0,LARGE,9207,2025,156,A,Y,CARB,2025-156A,64899
2025-156E,64903,PAYLOAD,CO3D1,FR,2025-07-26,FRGUI,,94.61,97.46,503,496,,,0,,9207,2025,156,E,Y,CO3D1,2025-156E,64903
2025-155A,64876,PAYLOAD,IONOSFERA-M 03,CIS,2025-07-25,VOSTO,,101.31,98.55,823,819,,,0,LARGE,9207,2025,155,A,Y,IONOSFERA-M 03,2025-155A,64876
2025-155B,64877,PAYLOAD,IONOSFERA-M 04,CIS,2025-07-25,VOSTO,,101.32,98.55,823,820,,,0,LARGE,9207,2025,155,B,Y,IONOSFERA-M 04,2025-155B,64877
2025-154B,64870,UNKNOWN,OBJECT B,US,2025-07-23,AFWTR,,96.51,97.71,594,588,,,0,MEDIUM,9204,2025,154,B,Y,OBJECT B,2025-154B,64870
2025-154C,64871,UNKNOWN,OBJECT C,US,2025-07-23,AFWTR,,96.50,97.71,594,588,,,0,MEDIUM,9204,2025,154,C,Y,OBJECT C,2025-154C,64871
2025-154D,64872,UNKNOWN,OBJECT D,US,2025-07-23,AFWTR,,96.50,97.71,594,588,,,0,LARGE,9205,2025,154,D,Y,OBJECT D,2025-154D,64872
2025-154E,64873,UNKNOWN,OBJECT E,US,2025-07-23,AFWTR,,96.49,97.71,594,587,,,0,LARGE,9206,2025,154,E,Y,OBJECT E,2025-154E,64873
2025-154F,64874,UNKNOWN,OBJECT F,US,2025-07-23,AFWTR,,94.90,97.44,515,512,,,0,MEDIUM,9206,2025,154,F,Y,OBJECT F,2025-154F,64874
2025-154G,64875,UNKNOWN,OBJECT G,US,2025-07-23,AFWTR,,94.85,97.45,512,510,,,0,MEDIUM,9206,2025,154,G,Y,OBJECT G,2025-154G,64875
2025-154A,64869,UNKNOWN,OBJECT A,US,2025-07-23,AFWTR,,96.54,97.71,597,590,,,0,MEDIUM,9207,2025,154,A,Y,OBJECT A,2025-154A,64869
2025-153C,64868,UNKNOWN,OBJECT C,TBD,2025-07-22,AFETR,,196.64,9.72,6997,2649,,,0,LARGE,9204,2025,153,C,Y,OBJECT C,2025-153C,64868
2025-153B,64867,UNKNOWN,OBJECT B,TBD,2025-07-22,AFETR,,196.73,9.72,7001,2652,,,0,LARGE,9206,2025,153,B,Y,OBJECT B,2025-153B,64867
2025-153A,64866,UNKNOWN,OBJECT A,TBD,2025-07-22,AFETR,,197.71,9.48,7025,2702,,,0,LARGE,9207,2025,153,A,Y,OBJECT A,2025-153A,64866
2025-152A,64842,PAYLOAD,STARLINK-34723,US,2025-07-19,AFWTR,,90.92,97.59,321,319,,,0,LARGE,9207,2025,152,A,Y,STARLINK-34723,2025-152A,64842
2025-152B,64843,PAYLOAD,STARLINK-34725,US,2025-07-19,AFWTR,,90.92,97.59,321,319,,,0,MEDIUM,9207,2025,152,B,Y,STARLINK-34725,2025-152B,64843
2025-152C,64844,PAYLOAD,STARLINK-34709,US,2025-07-19,AFWTR,,90.92,97.59,321,319,,,0,MEDIUM,9207,2025,152,C,Y,STARLINK-34709,2025-152C,64844
2025-152D,64845,PAYLOAD,STARLINK-34706,US,2025-07-19,AFWTR,,90.93,97.59,321,319,,,0,LARGE,9207,2025,152,D,Y,STARLINK-34706,2025-152D,64845
2025-152E,64846,PAYLOAD,STARLINK-34736,US,2025-07-19,AFWTR,,90.93,97.59,321,319,,,0,MEDIUM,9207,2025,152,E,Y,STARLINK-34736,2025-152E,64846
2025-152F,64847,PAYLOAD,STARLINK-34746,US,2025-07-19,AFWTR,,90.93,97.59,321,319,,,0,LARGE,9207,2025,152,F,Y,STARLINK-34746,2025-152F,64847
2025-152G,64848,PAYLOAD,STARLINK-34748,US,2025-07-19,AFWTR,,90.93,97.59,321,319,,,0,LARGE,9207,2025,152,G,Y,STARLINK-34748,2025-152G,64848
2025-152H,64849,PAYLOAD,STARLINK-34756,US,2025-07-19,AFWTR,,90.93,97.59,321,319,,,0,LARGE,9207,2025,152,H,Y,STARLINK-34756,2025-152H,64849
2025-152J,64850,PAYLOAD,STARLINK-34757,US,2025-07-19,AFWTR,,90.93,97.59,321,319,,,0,LARGE,9207,2025,152,J,Y,STARLINK-34757,2025-152J,64850
2025-152K,64851,PAYLOAD,STARLINK-34722,US,2025-07-19,AFWTR,,90.93,97.59,321,319,,,0,MEDIUM,9207,2025,152,K,Y,STARLINK-34722,2025-152K,64851
2025-152L,64852,PAYLOAD,STARLINK-34564,US,2025-07-19,AFWTR,,90.93,97.59,321,319,,,0,,9207,2025,152,L,Y,STARLINK-34564,2025-152L,64852
2025-152M,64853,PAYLOAD,STARLINK-34676,US,2025-07-19,AFWTR,,90.93,97.59,321,319,,,0,LARGE,9207,2025,152,M,Y,STARLINK-34676,2025-152M,64853
2025-152N,64854,PAYLOAD,STARLINK-34682,US,2025-07-19,AFWTR,,90.93,97.59,321,319,,,0,LARGE,9207,2025,152,N,Y,STARLINK-34682,2025-152N,64854
2025-152P,64855,PAYLOAD,STARLINK-34631,US,2025-07-19,AFWTR,,90.94,97.59,321,320,,,0,LARGE,9207,2025,152,P,Y,STARLINK-34631,2025-152P,64855
2025-152Q,64856,PAYLOAD,STARLINK-34578,US,2025-07-19,AFWTR,,90.94,97.59,321,320,,,0,LARGE,9207,2025,152,Q,Y,STARLINK-34578,2025-152Q,64856
2025-152R,64857,PAYLOAD,STARLINK-34683,US,2025-07-19,AFWTR,,90.94,97.59,321,320,,,0,LARGE,9207,2025,152,R,Y,STARLINK-34683,2025-152R,64857
2025-152S,64858,PAYLOAD,STARLINK-34654,US,2025-07-19,AFWTR,,90.94,97.59,322,320,,,0,LARGE,9207,2025,152,S,Y,STARLINK-34654,2025-152S,64858
